date,p,activity
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:13,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,5,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
2018/3/20 12:14,6,STAND
