date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 12:03:58,38,19.4,19.6,109,57,0,20.0,-0.95,0.01,-0.21,-0.94,-0.02,-0.24,
2018-03-20 12:03:59,38,19.4,19.6,98,64,1,20.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:03:59,38,19.4,19.6,101,86,1,20.0,-0.95,0.0,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:04:00,38,19.4,19.6,101,79,1,20.0,-0.96,0.0,-0.21,-0.94,-0.03,-0.25,
2018-03-20 12:04:00,37,19.4,19.6,88,88,1,20.0,-0.95,0.01,-0.21,-0.95,-0.02,-0.25,
2018-03-20 12:04:00,38,19.4,19.6,90,88,1,20.0,-0.95,-0.0,-0.19,-0.94,-0.02,-0.24,
2018-03-20 12:04:01,37,19.4,19.6,90,92,1,20.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:04:01,37,19.4,19.6,87,91,1,21.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:04:02,37,19.4,19.6,93,88,1,20.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:04:02,35,19.4,19.6,90,89,1,21.0,-0.96,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:04:02,35,19.4,19.6,88,94,1,21.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:04:03,35,19.4,19.6,92,94,1,20.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:04:03,36,19.4,19.6,88,91,1,21.0,-0.95,0.0,-0.21,-0.94,-0.02,-0.25,
2018-03-20 12:04:04,35,19.4,19.6,90,91,1,12.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:04:04,36,19.4,19.6,88,92,1,9.0,-0.95,-0.0,-0.21,-0.94,-0.02,-0.26,
2018-03-20 12:04:04,35,19.4,19.6,90,90,1,7.0,-0.95,0.0,-0.21,-1.07,-0.02,-0.07,
2018-03-20 12:04:05,37,19.4,19.6,89,88,1,7.0,-0.95,0.0,-0.2,-0.96,-0.04,-0.22,
2018-03-20 12:04:05,37,19.4,19.6,87,93,1,9.0,-0.94,0.0,-0.21,-0.93,-0.02,-0.37,
2018-03-20 12:04:06,37,19.4,19.6,88,93,1,9.0,-0.95,0.0,-0.19,-0.92,-0.02,-0.36,
2018-03-20 12:04:06,37,19.4,19.6,89,89,1,9.0,-0.95,0.0,-0.21,-0.92,-0.02,-0.33,
2018-03-20 12:04:07,37,19.4,19.6,90,89,1,9.0,-0.95,0.01,-0.2,-0.92,-0.02,-0.33,
2018-03-20 12:04:07,37,19.4,19.6,86,92,1,9.0,-0.95,0.0,-0.19,-0.92,-0.02,-0.34,
2018-03-20 12:04:10,36,19.4,19.6,90,89,1,10.0,-0.95,-0.0,-0.2,-0.92,-0.02,-0.33,
2018-03-20 12:04:10,39,19.4,19.5,86,92,1,10.0,-0.95,0.0,-0.21,-0.92,-0.02,-0.33,
2018-03-20 12:04:10,38,19.4,19.5,91,90,1,10.0,-0.95,0.0,-0.21,-0.92,-0.02,-0.34,
2018-03-20 12:04:11,38,19.4,19.5,88,90,1,11.0,-0.95,-0.0,-0.21,-0.92,-0.02,-0.34,
2018-03-20 12:04:12,38,19.4,19.3,90,89,1,11.0,-0.95,-0.01,-0.19,-0.92,-0.02,-0.34,
2018-03-20 12:04:12,38,19.4,19.3,90,89,1,10.0,-0.94,0.0,-0.2,-0.92,-0.01,-0.34,
2018-03-20 12:04:12,38,19.4,19.3,88,89,1,11.0,-0.95,0.0,-0.2,-0.92,-0.02,-0.33,
